AMD,787.62,4538,2025-01-15T09:00:03
UNH,2584.08,3052,2025-01-15T09:00:05
MRNA,506.18,821,2025-01-15T09:00:07
AMD,797.65,3604,2025-01-15T09:00:10
META,909.68,4032,2025-01-15T09:00:11
UNH,2586.66,869,2025-01-15T09:00:13
NKE,970.13,3957,2025-01-15T09:00:16
AMD,787.84,936,2025-01-15T09:00:18
NFLX,1915.99,960,2025-01-15T09:00:19
CRM,172.14,3264,2025-01-15T09:00:20
CVX,2510.26,760,2025-01-15T09:00:23
MRNA,513.82,1610,2025-01-15T09:00:25
NFLX,1897.26,2445,2025-01-15T09:00:26
AMD,809.81,1345,2025-01-15T09:00:29
ADBE,298.06,1689,2025-01-15T09:00:30
NFLX,1930.88,3952,2025-01-15T09:00:31
NFLX,1941.79,129,2025-01-15T09:00:34
DIS,317.06,2830,2025-01-15T09:00:37
HD,677.72,3687,2025-01-15T09:00:39
AMD,805.81,952,2025-01-15T09:00:40
KO,515.07,696,2025-01-15T09:00:43
NKE,991.39,750,2025-01-15T09:00:44
AMZN,2154.43,3377,2025-01-15T09:00:45
COST,39.92,1914,2025-01-15T09:00:47
NFLX,1925.18,2955,2025-01-15T09:00:50
CRM,166.11,612,2025-01-15T09:00:52
NFLX,1909.09,3023,2025-01-15T09:00:54
COST,39.91,1253,2025-01-15T09:00:57
BA,2889.44,3900,2025-01-15T09:00:59
KO,505.15,2262,2025-01-15T09:01:02
PYPL,1903.09,3583,2025-01-15T09:01:05
KO,515.92,3514,2025-01-15T09:01:07
KO,521.61,3239,2025-01-15T09:01:09
BA,2927.92,3167,2025-01-15T09:01:10
MCD,987.76,1922,2025-01-15T09:01:12
XOM,591.03,1221,2025-01-15T09:01:14
CVX,2589.37,3141,2025-01-15T09:01:16
ADBE,307.83,3851,2025-01-15T09:01:19
MSFT,1412.25,2093,2025-01-15T09:01:22
AAPL,1066.72,1758,2025-01-15T09:01:23
WMT,2233.95,4735,2025-01-15T09:01:26
V,1602.3,2177,2025-01-15T09:01:29
NKE,964.95,2091,2025-01-15T09:01:32
CVX,2567.48,886,2025-01-15T09:01:35
V,1609.36,3643,2025-01-15T09:01:37
KO,522.51,653,2025-01-15T09:01:40
ORCL,72.68,1813,2025-01-15T09:01:41
NFLX,1892.93,4792,2025-01-15T09:01:44
MCD,993.8,4964,2025-01-15T09:01:46
MSFT,1385.31,3607,2025-01-15T09:01:48
MRNA,515.15,3350,2025-01-15T09:01:50
AMD,804.82,4685,2025-01-15T09:01:51
MCD,991.32,3908,2025-01-15T09:01:53
TSLA,1482.4,153,2025-01-15T09:01:56
META,922.2,1121,2025-01-15T09:01:57
META,909.71,4028,2025-01-15T09:01:59
KO,523.94,832,2025-01-15T09:02:01
PYPL,1947.33,3175,2025-01-15T09:02:03
MCD,996.8,934,2025-01-15T09:02:05
ORCL,73.89,445,2025-01-15T09:02:07
ADBE,300.72,948,2025-01-15T09:02:08
BA,2864.92,3535,2025-01-15T09:02:10
WMT,2208.43,2448,2025-01-15T09:02:13
ADBE,303.42,590,2025-01-15T09:02:14
COST,40.32,1686,2025-01-15T09:02:16
MCD,985.28,4910,2025-01-15T09:02:18
WMT,2180.84,484,2025-01-15T09:02:19
GOOG,546.42,1159,2025-01-15T09:02:21
ADBE,301.54,425,2025-01-15T09:02:22
CRM,168.01,3319,2025-01-15T09:02:25
PEP,1661.98,4767,2025-01-15T09:02:26
MRNA,505.37,2308,2025-01-15T09:02:29
MSFT,1387.67,763,2025-01-15T09:02:30
KO,522.32,4630,2025-01-15T09:02:32
MSFT,1415.68,1288,2025-01-15T09:02:34
CVX,2548.55,751,2025-01-15T09:02:36
JPM,823.91,3314,2025-01-15T09:02:37
PYPL,1958.31,3507,2025-01-15T09:02:38
NFLX,1901.82,1075,2025-01-15T09:02:40
META,908.69,1376,2025-01-15T09:02:43
JPM,801.1,3251,2025-01-15T09:02:46
MSFT,1410.08,3640,2025-01-15T09:02:48
CVX,2574.19,192,2025-01-15T09:02:49
BA,2897.28,2949,2025-01-15T09:02:52
INTC,1598.16,3637,2025-01-15T09:02:54
NKE,970.74,1770,2025-01-15T09:02:57
DIS,317.48,4301,2025-01-15T09:03:00
